Time,Vrms,Irms,Temperature,Vibration
2026-06-21 11:50:33,278.08,35.71,63.72,0.96
2026-06-21 11:50:34,273.55,36.28,62.96,0.79
2026-06-21 11:50:36,296.36,33.53,59.24,0.80
2026-06-21 11:50:39,284.46,34.93,62.61,1.01
2026-06-21 11:50:42,285.59,34.76,60.39,0.95
2026-06-21 11:50:46,269.57,36.83,64.18,0.99
2026-06-21 11:50:49,272.14,36.51,63.56,1.13
2026-06-21 11:50:52,269.04,36.92,65.01,0.70
2026-06-21 11:50:55,276.65,35.92,64.52,1.12
2026-06-21 11:50:59,271.02,36.67,64.16,1.12
2026-06-21 11:51:02,286.26,34.68,60.52,0.69
2026-06-21 11:51:05,273.09,36.47,65.07,1.20
2026-06-21 11:51:09,273.49,36.33,63.45,1.13
2026-06-21 11:51:12,281.85,35.29,63.27,1.22
2026-06-21 11:51:15,272.81,36.42,63.98,0.97
2026-06-21 11:51:18,278.48,35.66,66.32,1.25
2026-06-21 11:51:21,271.13,36.64,65.68,1.04
2026-06-21 11:51:23,272.19,36.53,64.51,1.25
2026-06-21 11:51:24,284.45,34.93,60.23,1.17
2026-06-21 11:51:26,292.11,34.00,57.83,1.06
2026-06-21 11:51:28,289.03,34.36,59.51,0.97
2026-06-21 11:51:35,284.49,34.92,61.35,1.05
2026-06-21 11:51:38,291.73,34.05,58.55,0.58
2026-06-21 11:51:42,286.95,34.60,61.58,0.86
2026-06-21 11:51:45,275.19,36.05,64.54,1.20
2026-06-21 11:51:49,272.89,36.43,64.12,0.83
2026-06-21 11:51:53,281.14,35.36,61.85,1.29
2026-06-21 11:51:57,273.36,36.35,64.73,0.91
2026-06-21 11:52:02,276.79,35.87,62.93,0.97
2026-06-21 11:52:07,285.13,34.82,61.48,1.23
2026-06-21 11:52:10,274.81,36.12,65.29,0.82
2026-06-21 11:52:13,280.97,35.43,61.67,1.08
2026-06-21 11:52:16,278.94,35.61,64.33,1.22
2026-06-21 11:52:19,270.26,36.76,65.03,0.90
2026-06-21 11:52:22,290.11,34.23,59.70,0.69
2026-06-21 11:52:25,274.99,36.11,65.02,1.03
2026-06-21 11:52:28,286.51,34.67,61.21,1.32
2026-06-21 11:52:32,271.20,36.64,64.83,1.03
2026-06-21 11:52:36,286.25,34.68,61.48,1.15
2026-06-21 11:52:39,275.04,36.09,62.54,1.10
2026-06-21 11:52:42,296.30,33.55,58.40,1.16
2026-06-21 11:52:45,274.10,36.24,64.24,1.12
2026-06-21 11:52:49,271.23,36.66,64.69,0.73
2026-06-21 11:52:53,289.93,34.24,59.24,0.87
2026-06-21 11:52:56,270.32,36.77,63.48,1.05
2026-06-21 11:53:03,291.86,34.05,60.88,0.83
2026-06-21 11:53:07,281.73,35.29,61.42,0.86
2026-06-21 11:53:10,284.75,34.87,61.24,0.90
2026-06-21 11:53:13,270.12,36.79,66.15,1.37
2026-06-21 11:53:16,283.57,35.01,62.84,0.58
2026-06-21 11:53:18,278.69,35.68,63.56,0.93
2026-06-21 11:53:21,270.20,36.75,66.40,1.21
2026-06-21 11:53:24,279.71,35.55,63.52,0.87
2026-06-21 11:53:27,289.98,34.22,59.86,1.04
2026-06-21 11:53:30,272.84,36.42,63.99,0.90
2026-06-21 11:53:33,272.01,36.54,65.52,1.59
2026-06-21 11:53:36,290.58,34.21,62.03,1.19
2026-06-21 11:53:40,289.19,34.33,60.25,0.96
2026-06-21 11:53:43,278.99,35.62,64.42,0.67
2026-06-21 11:53:44,273.06,36.39,65.50,0.89
2026-06-21 11:53:46,283.80,35.02,62.08,1.06
2026-06-21 11:53:48,275.12,36.07,65.13,0.93
2026-06-21 11:53:49,283.83,35.00,62.48,1.02
2026-06-21 11:53:51,272.33,36.49,64.26,1.09
2026-06-21 11:53:53,279.31,35.56,64.33,0.73
2026-06-21 11:53:54,281.77,35.26,62.34,0.53
2026-06-21 11:53:56,270.90,36.69,68.19,0.95
2026-06-21 11:53:58,274.09,36.24,63.94,1.08
2026-06-21 11:53:59,288.84,34.39,60.37,1.32
2026-06-21 11:54:01,290.82,34.17,59.46,0.98
2026-06-21 11:54:03,286.52,34.67,62.51,1.41
2026-06-21 11:54:05,291.97,34.05,59.14,1.10
2026-06-21 11:54:06,285.39,34.79,63.31,1.33
2026-06-21 11:54:08,277.78,35.77,63.94,0.93
2026-06-21 11:54:09,278.10,35.74,64.46,1.03
2026-06-21 11:54:11,270.17,36.78,66.25,0.98
2026-06-21 11:54:12,277.92,35.73,64.40,0.92
2026-06-21 11:54:14,284.82,34.86,63.82,0.91
2026-06-21 11:54:16,277.36,35.83,64.34,1.32
2026-06-21 11:54:17,277.52,35.80,60.99,0.83
2026-06-21 11:54:19,278.48,35.66,63.41,1.39
2026-06-21 11:54:20,275.03,36.09,64.57,1.02
2026-06-21 11:54:22,288.85,34.39,62.35,1.03
2026-06-21 11:54:23,296.13,33.57,59.24,1.02
2026-06-21 11:54:25,295.19,33.70,59.57,0.86
2026-06-21 11:54:26,289.79,34.24,58.43,0.93
2026-06-21 11:54:27,289.83,34.24,60.61,0.70
2026-06-21 11:54:29,288.39,34.45,59.10,1.36
2026-06-21 11:54:31,283.39,35.04,63.06,1.10
2026-06-21 11:54:32,274.07,36.24,63.26,1.25
2026-06-21 11:54:34,272.36,36.49,62.86,0.96
2026-06-21 11:54:35,286.88,34.62,61.12,0.83
2026-06-21 11:54:38,279.53,35.57,63.55,1.05
2026-06-21 11:54:41,283.27,35.06,60.59,1.01
2026-06-21 11:54:44,284.45,34.93,60.32,0.99
2026-06-21 11:54:47,283.21,35.06,62.07,1.20
2026-06-21 11:54:50,276.23,35.95,65.09,0.85
2026-06-21 11:54:52,290.09,34.23,60.05,1.28
2026-06-21 11:54:54,273.88,36.29,64.38,0.88
2026-06-21 11:54:55,295.19,33.68,59.69,1.00
2026-06-21 11:54:57,290.70,34.17,59.70,0.63
2026-06-21 11:54:58,274.88,36.12,63.97,1.33
2026-06-21 11:55:00,296.54,33.52,59.68,1.03
2026-06-21 11:55:02,280.69,35.44,63.39,1.24
2026-06-21 11:55:04,294.03,33.83,60.64,0.76
2026-06-21 11:55:08,287.82,34.51,60.05,1.15
2026-06-21 11:55:11,294.90,33.69,59.40,1.08
2026-06-21 11:55:13,277.58,35.76,63.91,0.77
2026-06-21 11:55:17,273.18,36.37,64.79,1.15
2026-06-21 11:55:19,290.32,34.21,60.15,1.18
2026-06-21 11:55:21,269.57,36.83,65.61,0.63
2026-06-21 11:55:23,295.24,33.70,59.28,1.16
2026-06-21 11:55:24,276.49,35.92,63.10,1.45
2026-06-21 11:55:26,281.22,35.32,63.28,0.92
2026-06-21 11:55:28,290.49,34.16,60.70,1.21
2026-06-21 11:55:32,274.08,36.24,63.88,0.67
2026-06-21 11:55:35,272.37,36.52,65.27,0.77
2026-06-21 11:55:38,289.84,34.26,59.40,1.23
2026-06-21 11:55:42,273.04,36.39,64.97,1.05
2026-06-21 11:55:46,288.07,34.48,61.65,1.07
2026-06-21 11:55:49,283.47,35.03,61.63,0.98
2026-06-21 11:55:53,288.28,34.43,61.31,1.28
2026-06-21 11:55:56,270.79,36.73,65.97,0.84
2026-06-21 11:56:00,276.55,35.89,62.64,0.88
2026-06-21 11:56:03,290.99,34.12,59.08,1.08
2026-06-21 11:56:06,294.73,33.73,59.80,1.16
2026-06-21 11:56:09,270.36,36.74,65.46,1.12
2026-06-21 11:56:12,271.28,36.66,65.37,0.96
2026-06-21 11:56:14,269.08,36.89,63.31,0.91
2026-06-21 11:56:16,269.18,36.87,65.31,0.89
2026-06-21 11:56:18,293.19,33.92,60.30,0.58
2026-06-21 11:56:20,286.68,34.64,61.56,1.00
2026-06-21 11:56:23,278.55,35.69,63.34,1.14
2026-06-21 11:56:26,296.16,33.57,59.02,0.69
2026-06-21 11:56:29,272.91,36.42,64.47,1.13
2026-06-21 11:56:32,289.28,34.32,60.66,1.21
2026-06-21 11:56:34,295.56,33.63,57.06,0.63
2026-06-21 11:56:36,276.76,35.90,64.07,0.86
2026-06-21 11:56:38,273.72,36.28,64.63,0.68
2026-06-21 11:56:41,294.85,33.74,57.76,1.19
2026-06-21 11:56:45,294.10,33.81,58.12,0.88
2026-06-21 11:56:48,293.70,33.86,60.25,1.10
2026-06-21 11:56:51,275.36,36.05,64.40,1.01
2026-06-21 11:56:54,286.85,34.61,61.47,0.84
2026-06-21 11:56:57,292.31,33.99,58.58,1.17
2026-06-21 11:56:59,269.26,36.88,64.05,0.97
2026-06-21 11:57:01,277.43,35.78,62.81,1.15
2026-06-21 11:57:03,280.14,35.50,62.66,0.89
2026-06-21 11:57:04,274.84,36.14,65.04,1.09
2026-06-21 11:57:06,284.48,34.92,62.50,0.82
2026-06-21 11:57:08,280.85,35.41,64.01,0.96
2026-06-21 11:57:10,289.17,34.31,62.26,0.95
2026-06-21 11:57:12,279.19,35.65,62.32,1.06
2026-06-21 11:57:13,273.67,36.30,64.54,1.07
2026-06-21 11:57:14,273.74,36.28,63.07,1.04
2026-06-21 11:57:16,293.45,33.90,59.50,1.39
2026-06-21 11:57:18,270.49,36.71,65.43,0.93
2026-06-21 11:57:20,277.54,35.76,64.42,1.00
2026-06-21 11:57:22,269.17,36.89,65.02,0.60
2026-06-21 11:57:23,287.72,34.49,60.48,0.93
2026-06-21 11:57:25,287.30,34.56,62.16,0.68
2026-06-21 11:57:26,284.62,34.91,60.60,0.91
2026-06-21 11:57:28,293.67,33.87,59.89,0.79
2026-06-21 11:57:30,292.09,34.00,59.78,1.22
2026-06-21 11:57:32,295.73,33.62,60.71,0.82
2026-06-21 11:57:33,272.74,36.43,65.87,1.26
2026-06-21 11:57:35,292.66,33.98,59.67,0.97
2026-06-21 11:57:36,291.51,34.10,60.16,1.07
2026-06-21 11:57:39,290.24,34.23,60.28,1.53
2026-06-21 11:57:43,282.08,35.23,62.94,0.91
2026-06-21 11:57:46,295.98,33.58,58.49,1.11
2026-06-21 11:57:49,286.26,34.70,59.27,1.01
2026-06-21 11:57:52,285.65,34.77,61.54,1.02
2026-06-21 11:57:55,273.52,36.29,65.42,0.73
2026-06-21 11:57:58,293.10,33.90,59.98,1.06
2026-06-21 11:58:01,296.59,33.49,59.89,1.01
2026-06-21 11:58:04,280.52,35.43,62.94,1.15
2026-06-21 11:58:07,272.18,36.53,64.78,0.65
2026-06-21 11:58:09,275.36,36.05,63.06,1.25
2026-06-21 11:58:12,285.51,34.77,62.75,0.84
2026-06-21 11:58:16,292.89,33.95,60.53,0.73
2026-06-21 11:58:18,276.62,35.90,64.10,0.97
2026-06-21 11:58:20,285.26,34.82,63.43,0.93
2026-06-21 11:58:22,283.51,35.03,60.88,0.84
2026-06-21 11:58:25,287.23,34.59,62.60,0.92
2026-06-21 11:58:28,287.33,34.58,60.42,1.14
2026-06-21 11:58:33,292.45,34.01,60.33,0.73
2026-06-21 11:58:37,282.89,35.12,60.17,1.11
2026-06-21 11:58:41,276.26,35.95,63.08,1.06
2026-06-21 11:58:47,280.18,35.45,63.86,1.03
2026-06-21 11:58:53,270.99,36.65,65.17,0.87
2026-06-21 11:58:58,282.11,35.20,61.97,1.18
2026-06-21 11:59:02,282.75,35.14,61.20,0.97
2026-06-21 11:59:06,276.19,35.96,63.38,0.87
2026-06-21 11:59:08,272.15,36.57,65.22,0.93
2026-06-21 11:59:15,290.02,34.25,58.71,1.03
2026-06-21 11:59:28,283.70,34.99,62.04,0.71
2026-06-21 11:59:33,272.38,36.52,65.50,0.69
2026-06-21 11:59:37,272.10,36.51,64.41,1.06
2026-06-21 11:59:41,280.55,35.47,61.86,0.43
2026-06-21 11:59:43,274.55,36.15,63.86,0.88
2026-06-21 11:59:46,279.37,35.59,62.31,1.13
2026-06-21 11:59:52,280.82,35.40,61.60,1.17
2026-06-21 11:59:56,274.71,36.14,65.44,0.82
2026-06-21 11:59:58,291.21,34.13,60.25,1.13
2026-06-21 12:00:01,274.23,36.22,64.36,0.95
2026-06-21 12:00:04,278.67,35.65,65.10,1.18
2026-06-21 12:00:11,281.11,35.40,62.01,1.10
2026-06-21 12:00:18,285.21,34.82,61.61,1.16
2026-06-21 12:00:23,272.50,36.46,65.47,1.28
2026-06-21 12:00:27,273.23,36.37,62.78,0.64
2026-06-21 12:00:29,288.83,34.37,58.44,0.93
2026-06-21 12:00:32,286.41,34.67,61.31,1.06
2026-06-21 12:00:39,287.69,34.49,59.87,1.16
2026-06-21 12:00:45,286.44,34.65,59.65,1.00
2026-06-21 12:00:50,272.14,36.54,64.65,1.13
2026-06-21 12:00:53,278.21,35.71,63.05,0.99
2026-06-21 12:00:56,269.75,36.82,65.23,0.79
2026-06-21 12:01:00,283.31,35.06,62.00,1.10
2026-06-21 12:01:03,282.67,35.16,61.63,1.12
2026-06-21 12:01:06,282.70,35.15,62.88,0.98
2026-06-21 12:01:10,281.84,35.24,62.17,0.82
2026-06-21 12:01:14,294.32,33.80,58.30,1.36
2026-06-21 12:01:18,289.67,34.29,61.21,1.07
2026-06-21 12:01:22,271.72,36.59,66.10,0.75
2026-06-21 12:01:26,284.85,34.86,62.34,1.06
2026-06-21 12:01:31,271.12,36.65,65.24,0.69
2026-06-21 12:01:36,278.36,35.68,62.29,1.01
2026-06-21 12:01:42,275.59,36.02,64.23,1.06
2026-06-21 12:01:46,283.70,35.02,61.64,0.98
2026-06-21 12:01:51,296.80,33.46,58.99,1.20
2026-06-21 12:01:56,294.01,33.82,57.79,1.12
2026-06-21 12:02:01,289.27,34.31,58.63,1.16
2026-06-21 12:02:06,292.56,33.96,60.85,0.74
2026-06-21 12:02:10,286.07,34.73,61.43,1.11
2026-06-21 12:02:14,277.14,35.80,63.65,0.95
2026-06-21 12:02:18,292.58,33.97,60.10,0.92
2026-06-21 12:02:22,277.59,35.79,64.51,0.55
2026-06-21 12:02:25,269.22,36.89,65.19,1.26
2026-06-21 12:02:29,272.69,36.43,63.35,1.04
2026-06-21 12:02:32,269.93,36.81,65.44,1.10
2026-06-21 12:02:36,278.95,35.63,64.35,1.22
2026-06-21 12:02:39,295.50,33.64,58.51,1.07
2026-06-21 12:02:43,282.08,35.22,64.75,1.09
2026-06-21 12:02:50,279.89,35.48,61.94,0.74
2026-06-21 12:02:54,271.37,36.60,64.98,1.13
2026-06-21 12:03:00,293.91,33.83,60.22,0.64
2026-06-21 12:03:03,271.05,36.64,66.13,1.02
2026-06-21 12:03:06,293.19,33.91,59.10,1.05
2026-06-21 12:03:10,272.80,36.42,63.76,1.26
2026-06-21 12:03:12,269.55,36.83,65.20,1.09
2026-06-21 12:03:15,286.37,34.68,59.37,1.29
2026-06-21 12:03:17,275.64,36.02,63.42,1.02
2026-06-21 12:03:19,284.06,34.97,60.22,0.42
2026-06-21 12:03:21,282.05,35.21,61.73,0.88
2026-06-21 12:03:24,288.02,34.46,58.81,0.90
2026-06-21 12:03:28,276.31,35.96,62.73,1.09
2026-06-21 12:03:31,283.43,35.04,61.74,0.71
2026-06-21 12:03:33,290.91,34.16,60.41,0.84
2026-06-21 12:03:36,280.10,35.51,64.81,1.16
2026-06-21 12:03:39,276.81,35.92,66.06,1.24
2026-06-21 12:03:42,278.77,35.64,65.06,0.82
2026-06-21 12:03:45,288.60,34.39,62.49,1.09
2026-06-21 12:03:48,282.49,35.17,62.56,0.95
2026-06-21 12:03:50,285.26,34.81,60.96,0.89
2026-06-21 12:03:53,296.14,33.57,58.74,0.89
2026-06-21 12:03:56,269.09,36.89,66.05,1.20
2026-06-21 12:03:58,284.44,34.91,61.48,1.25
2026-06-21 12:04:01,268.73,36.95,65.98,1.34
2026-06-21 12:04:04,275.23,36.05,64.35,1.44
2026-06-21 12:04:07,273.00,36.39,65.64,1.08
2026-06-21 12:04:10,285.28,34.80,61.21,1.36
2026-06-21 12:04:12,296.64,33.50,58.02,0.96
2026-06-21 12:04:15,280.56,35.43,60.87,1.11
2026-06-21 12:04:18,271.29,36.61,64.27,0.95
2026-06-21 12:04:21,288.25,34.45,62.24,1.07
2026-06-21 12:04:24,289.06,34.34,59.46,1.02
2026-06-21 12:04:28,272.90,36.41,65.06,1.07
2026-06-21 12:04:32,290.58,34.19,60.24,1.16
2026-06-21 12:04:35,293.17,33.91,60.63,1.49
2026-06-21 12:04:37,290.15,34.22,58.06,0.99
2026-06-21 12:04:40,272.70,36.48,64.84,0.97
2026-06-21 12:04:42,281.70,35.31,61.33,0.67
2026-06-21 12:04:44,271.78,36.57,65.42,0.76
2026-06-21 12:04:46,271.94,36.53,63.74,0.98
2026-06-21 12:04:49,275.67,36.01,63.07,0.93
2026-06-21 12:04:50,281.02,35.41,64.57,1.09
2026-06-21 12:04:53,294.85,33.73,58.91,0.94
2026-06-21 12:04:55,271.94,36.53,64.75,0.84
2026-06-21 12:04:57,279.04,35.63,63.00,1.16
2026-06-21 12:05:00,270.14,36.81,66.73,1.13
2026-06-21 12:05:01,275.12,36.06,65.92,0.77
2026-06-21 12:05:04,286.58,34.66,59.34,1.18
2026-06-21 12:05:06,281.58,35.31,62.10,0.66
2026-06-21 12:05:07,280.80,35.41,62.35,0.73
2026-06-21 12:05:10,294.35,33.78,58.46,0.95
2026-06-21 12:05:12,293.12,33.89,59.27,1.12
2026-06-21 12:05:15,286.04,34.73,60.48,1.06
2026-06-21 12:05:17,271.61,36.57,64.67,0.91
2026-06-21 12:05:20,292.50,33.99,58.67,1.12
2026-06-21 12:05:22,283.04,35.10,62.72,1.13
2026-06-21 12:05:23,279.79,35.52,63.61,1.30
2026-06-21 12:05:26,277.29,35.81,63.89,0.99
2026-06-21 12:05:27,292.53,34.00,59.18,1.07
2026-06-21 12:05:30,287.40,34.56,61.30,1.06
2026-06-21 12:05:32,280.91,35.41,62.93,1.00
2026-06-21 12:05:35,282.13,35.20,62.16,1.19
2026-06-21 12:05:37,284.99,34.83,58.75,0.90
2026-06-21 12:05:39,276.65,35.93,64.70,1.28
2026-06-21 12:05:42,290.24,34.19,60.83,1.05
2026-06-21 12:05:43,284.59,34.90,61.57,0.99
2026-06-21 12:05:46,277.58,35.76,63.60,0.87
2026-06-21 12:05:48,294.20,33.80,60.23,0.96
2026-06-21 12:05:50,274.26,36.22,63.43,0.88
2026-06-21 12:05:53,270.90,36.69,66.79,0.79
2026-06-21 12:05:54,280.51,35.46,64.07,1.27
2026-06-21 12:05:57,294.82,33.74,60.77,1.13
2026-06-21 12:05:59,279.99,35.50,62.59,0.81
2026-06-21 12:06:01,275.71,36.00,63.07,0.95
2026-06-21 12:06:04,270.45,36.72,65.65,0.97
2026-06-21 12:06:07,281.88,35.26,61.69,1.41
2026-06-21 12:06:09,268.96,36.93,65.98,1.22
2026-06-21 12:06:11,283.06,35.09,61.85,0.89
2026-06-21 12:06:13,290.90,34.15,61.59,1.15
2026-06-21 12:06:15,280.95,35.39,64.28,1.00
2026-06-21 12:06:17,280.31,35.47,61.32,1.10
2026-06-21 12:06:19,292.49,33.99,58.67,1.19
2026-06-21 12:06:21,278.72,35.71,62.38,0.92
2026-06-21 12:06:24,278.17,35.68,63.41,0.66
2026-06-21 12:06:25,291.66,34.04,58.00,0.99
2026-06-21 12:06:28,291.96,34.04,60.47,0.80
2026-06-21 12:06:31,293.21,33.91,61.29,1.43
2026-06-21 12:06:33,296.11,33.56,58.76,1.39
2026-06-21 12:06:35,289.38,34.30,62.02,1.16
2026-06-21 12:06:37,278.18,35.71,60.64,1.34
2026-06-21 12:06:40,276.79,35.90,63.03,1.08
2026-06-21 12:06:41,289.37,34.30,60.43,1.31
2026-06-21 12:06:44,272.33,36.48,64.17,1.07
2026-06-21 12:06:46,285.91,34.72,63.18,0.64
2026-06-21 12:06:48,289.16,34.31,61.09,0.84
2026-06-21 12:06:51,280.89,35.42,63.28,1.25
2026-06-21 12:06:53,292.52,33.95,59.41,0.91
2026-06-21 12:06:56,282.41,35.18,62.50,0.88
2026-06-21 12:06:58,270.90,36.70,65.83,0.91
2026-06-21 12:07:00,279.93,35.51,63.81,1.20
2026-06-21 12:07:02,276.65,35.90,63.60,0.88
2026-06-21 12:07:05,279.83,35.55,62.45,0.93
2026-06-21 12:07:07,270.74,36.71,66.88,1.12
2026-06-21 12:07:09,270.36,36.76,64.01,1.00
2026-06-21 12:07:12,278.24,35.67,64.79,1.10
2026-06-21 12:07:13,285.00,34.83,61.94,1.13
2026-06-21 12:07:16,278.98,35.63,61.06,1.20
2026-06-21 12:07:18,295.37,33.66,59.10,0.69
2026-06-21 12:07:20,285.25,34.83,62.79,0.90
2026-06-21 12:07:23,271.41,36.67,66.13,0.95
2026-06-21 12:07:25,289.19,34.33,59.86,1.07
2026-06-21 12:07:27,295.50,33.63,59.54,1.06
2026-06-21 12:07:30,275.01,36.09,66.13,0.94
2026-06-21 12:07:33,288.85,34.39,61.67,1.18
2026-06-21 12:07:37,282.90,35.13,61.43,1.05
2026-06-21 12:07:40,291.09,34.13,60.01,0.87
2026-06-21 12:07:43,287.20,34.59,61.87,1.01
2026-06-21 12:07:45,273.85,36.28,63.41,1.05
2026-06-21 12:07:47,295.41,33.65,59.59,1.26
2026-06-21 12:07:49,269.82,36.80,63.51,1.14
2026-06-21 12:07:53,281.51,35.33,62.77,0.89
2026-06-21 12:07:54,294.59,33.77,60.10,0.90
2026-06-21 12:07:57,285.55,34.76,61.42,1.51
2026-06-21 12:07:59,268.72,36.93,64.59,0.91
2026-06-21 12:08:01,276.35,35.94,61.68,1.25
2026-06-21 12:08:03,284.08,34.95,63.05,0.82
2026-06-21 12:08:05,287.07,34.60,63.22,1.12
2026-06-21 12:08:07,284.30,34.93,60.56,1.22
2026-06-21 12:08:09,277.96,35.73,61.03,0.82
2026-06-21 12:08:12,268.98,36.91,65.86,0.60
2026-06-21 12:08:14,295.36,33.68,58.61,1.14
2026-06-21 12:08:17,282.77,35.15,62.16,1.00
